timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado
1770702121,2026-02-10 05:42:01,2026-02-10 02:42:01,Puyehue-Cordon Caulle,VIIRS375,0.2,7.73,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-02-10/05-42-01_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-02-10 08:05:38,2026-02-10 19:45:45,NO
1770702121,2026-02-10 05:42:01,2026-02-10 02:42:01,PlanchonPeteroa,VIIRS375,0.07,1.68,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-02-10/05-42-01_PlanchonPeteroa_VIIRS375_Latest.png,2026-02-10 08:05:38,2026-02-10 19:45:45,NO
1770702121,2026-02-10 05:42:01,2026-02-10 02:42:01,Lascar,VIIRS375,4.14,1.5,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-10/05-42-01_Lascar_VIIRS375_Latest.png,2026-02-10 07:50:42,2026-02-10 19:45:45,NO
1770702121,2026-02-10 05:42:01,2026-02-10 02:42:01,Lascar,VIIRS,4.05,1.5,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-10/05-42-01_Lascar_VIIRS750_Latest.png,2026-02-10 05:35:42,2026-02-10 18:16:03,NO
1770702121,2026-02-10 05:42:01,2026-02-10 02:42:01,Lastarria,VIIRS375,0.12,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-02-10/05-42-01_Lastarria_VIIRS375_Latest.png,2026-02-10 07:50:42,2026-02-10 19:45:45,NO
1770701761,2026-02-10 05:36:01,2026-02-10 02:36:01,Isluga,VIIRS375,0.36,0.53,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Isluga/2026-02-10/05-36-01_Isluga_VIIRS375_Latest.png,2026-02-10 07:50:42,2026-02-10 19:45:45,NO
1770621600,2026-02-09 07:20:00,2026-02-09 04:20:00,Lascar,MODIS,1.64,1.0,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-09/07-20-00_Lascar_MODIS_Latest.png,2026-02-09 07:05:37,2026-02-09 11:15:40,NO
1770616801,2026-02-09 06:00:01,2026-02-09 03:00:01,Isluga,VIIRS375,0.1,0.53,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Isluga/2026-02-09/06-00-01_Isluga_VIIRS375_Latest.png,2026-02-09 07:50:37,2026-02-09 18:46:12,NO
1770616801,2026-02-09 06:00:01,2026-02-09 03:00:01,Lascar,VIIRS375,4.61,1.19,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-09/06-00-01_Lascar_VIIRS375_Latest.png,2026-02-09 07:50:37,2026-02-09 18:46:12,NO
1770616801,2026-02-09 06:00:01,2026-02-09 03:00:01,Lascar,VIIRS,3.69,1.68,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-09/06-00-01_Lascar_VIIRS750_Latest.png,2026-02-09 07:05:37,2026-02-09 18:16:02,NO
